index,n_imgs,maxN,stepN,repN,batch_size,n_threads,name,time,order,wait0_0,wait0_1,wait_0,wait_1,copy1_0,copy1_1,copy2_0,copy2_1,run_0,run_1,ttime_0,ttime_1,wtime_0,wtime_1
46,13,81,2,4,13,2,parallel,0.01504459475108888,True,0.0,0.0005250000000000001,0.0,0.0005250000000000001,0.001946316500834655,0.0008677607511344831,0.0005420769994088914,6.882349043735303e-05,0.011065642243920593,0.01242208325129468,0.013621907000924693,0.014420921499549877,9.449500794289634e-06,0.001038480255374452
47,15,81,2,4,15,2,parallel,0.016969836000498617,True,0.0,0.0005,0.0,0.0005,0.0023217237503558863,0.00099208023675601,0.0005884984966542106,7.822149200364947e-05,0.012451232509192778,0.014275079254730372,0.01543895223585423,0.01639901074304362,1.0874988220166415e-05,0.0010281805116392206
48,17,81,2,4,17,2,parallel,0.01916181550041074,True,0.0,0.000575,0.0,0.000575,0.0028097775102651212,0.0011251022478973027,0.000693471261911327,8.80972329468932e-05,0.014114083987806225,0.016290589497657493,0.017711203003273113,0.018578616494778544,1.1824482498923317e-05,0.0010447790009493474
49,19,81,2,4,19,2,parallel,0.021646681998390704,True,0.0,0.000575,0.0,0.000575,0.003110589983407408,0.001386338502925355,0.0008349642484972719,0.0001291439803026151,0.016051676011556992,0.01835557625236106,0.020096150223253062,0.02100556075311033,1.327374775428325e-05,0.0011005530177499168
50,21,81,2,4,21,2,parallel,0.023395055999571923,True,0.0,0.000575,0.0,0.0006250000000000001,0.003160486518027028,0.001383988739689812,0.0009207357215927914,0.00011462099428172223,0.017723653254506644,0.019996203740447527,0.021916395242442377,0.022751683231035713,1.4774497685721144e-05,0.0012187470201752149
51,23,81,2,4,23,2,parallel,0.02521137700023246,True,0.0,0.000575,0.0,0.000575,0.003439625244936906,0.0015475319814868271,0.0010141305247088894,0.0001237947326444555,0.019172963468008675,0.021771076528239064,0.02374691500517656,0.02455355524944025,1.7299265891779214e-05,0.001070278256520396
52,25,81,2,4,25,2,parallel,0.028843068750575185,True,0.0,0.0006000000000000001,0.0,0.0012499999999999996,0.003971526490204269,0.0016647762422508094,0.0011679224917315878,0.00015324352352763526,0.02206508926974493,0.02400648002003436,0.027338784238963854,0.028137150758993812,1.937449269462377e-05,0.002268627729790751
53,27,81,2,4,27,2,parallel,0.029567687251983443,True,0.0,0.00055,0.0,0.00055,0.00433766103014932,0.0017595485151105095,0.0012882195296697319,0.00014532026398228481,0.022247130476898747,0.025756527233170345,0.02801562899549026,0.028791672259103507,2.0798976038349792e-05,0.0010798032562888693
54,29,81,2,4,29,2,parallel,0.03203355475125136,True,0.0,0.0006000000000000001,0.0,0.0006250000000000001,0.004668996778491419,0.0019183667609468102,0.0013808910043735523,0.0001576185240992345,0.024341864736925345,0.027966057488811202,0.0305434200054151,0.03132083625314408,2.2173986508278176e-05,0.001225872245413484
55,31,81,2,4,31,2,parallel,0.034671040000830544,True,0.0,0.000575,0.0,0.0006000000000000001,0.0051306507775734644,0.0020944087591487914,0.0016201539765461348,0.00016914246953092515,0.026218233226245502,0.030386302027181955,0.03314095527457539,0.03391012148858863,2.4749257136136293e-05,0.0011996962239209097
