index,n_imgs,maxN,stepN,repN,batch_size,n_threads,n_imgs_sequence,time_sequence,n_imgs_parallel,time_parallel
0,20,5,1,4,1,4,1,0.017220175000450883,1,0.016910284670302644
1,20,5,1,4,4,4,4,0.06907426099739193,4,0.031805997001356445
2,20,5,1,4,8,4,8,0.1331644406648896,8,0.05604215833106233
3,20,5,1,4,12,4,12,0.18790070533577818,12,0.06112523666524794
4,20,5,1,4,16,4,16,0.23660222066488737,16,0.07120812933135312
