index,n_imgs,maxN,stepN,repN,batch_size,n_threads,name,time,order,wait0_0,wait0_1,wait0_2,wait0_3,wait_0,wait_1,wait_2,wait_3,copy1_0,copy1_1,copy1_2,copy1_3,copy2_0,copy2_1,copy2_2,copy2_3,run_0,run_1,run_2,run_3,ttime_0,ttime_1,ttime_2,ttime_3,wtime_0,wtime_1,wtime_2,wtime_3
41,3,81,2,4,3,4,parallel,0.008242809500188741,True,0.0,0.0009250000000000003,0.0013250000000000004,0.0015000000000000005,0.0,0.0015250000000000003,0.0028499999999999997,0.0030499999999999998,0.0005866077499376843,0.00025174275197059615,0.000254818001849344,0.00030216625054890756,0.0002504425001461641,0.00043453724811115535,0.0005074602486274671,3.47734994647908e-05,0.004480619502828631,0.002715495500524412,0.001082592999409826,0.0005421595014922787,0.0053340439990279265,0.006848250499388087,0.007294487252693216,0.007431958002598549,2.4497476260876283e-06,0.003430824998758908,0.005436191248918476,0.0065474087505208445
42,5,81,2,4,5,4,parallel,0.010067156000332034,True,0.0,0.0008750000000000001,0.0012750000000000005,0.0014750000000000004,0.0,0.0022,0.002924999999999999,0.0033749999999999987,0.0007789022502038279,0.0003574897473299643,0.0004009632511952077,0.00045556225086329505,0.0004199877521386952,0.000710154497937765,0.0008898239966583787,5.787399732071208e-05,0.007010070748037833,0.002422354002192151,0.001788972750546236,0.0008486999986416777,0.008237234249463654,0.008699071251612622,0.00912750825045805,0.009258529748876754,3.9499991544289514e-06,0.005183899002986436,0.006024748749950959,0.007886944251367822
43,7,81,2,4,7,4,parallel,0.014931889249965025,True,0.0,0.0008250000000000002,0.0012000000000000003,0.0012250000000000004,0.0,0.0031999999999999984,0.004524999999999999,0.004599999999999999,0.001141292000284011,0.0004800607493962161,0.0011780652494053356,0.0006235572482182761,0.0005668585026796791,0.000981896000666893,0.0011902897467734874,9.577250057191122e-05,0.01128957074979553,0.0033806762512540445,0.0018460710025465232,0.002048439499048982,0.013035844249316142,0.013459307247103425,0.01389116974951321,0.01381764675170416,5.499497092387173e-06,0.008583124998949643,0.009646318999330106,0.011037028001737781
44,9,81,2,4,9,4,parallel,0.01674991100026091,True,0.0,0.0008000000000000001,0.0012000000000000003,0.0014000000000000002,0.0,0.0031749999999999986,0.004775,0.0052250000000000005,0.0014209592491170042,0.0005919075038036681,0.0006627307520830072,0.000788976752119197,0.0007149295024646563,0.0013299864986038301,0.0015251812501446693,0.00010707199999160366,0.012705803499557078,0.0042715012468761415,0.0025830245003817254,0.0022957579985813936,0.014891291000822093,0.015282954249414615,0.015686792000451533,0.01579678975213028,6.6247503127669916e-06,0.00904701100080274,0.010877206997975009,0.012588958499691216
45,11,81,2,4,11,4,parallel,0.019098667499747535,True,0.0,0.0007750000000000001,0.0011750000000000003,0.0013750000000000004,0.0,0.003449999999999998,0.005425000000000002,0.005925000000000003,0.0017690985032459139,0.0008625257496532868,0.0007936020001579891,0.0009008487504615914,0.0008750502556722495,0.0015822779996597092,0.0018726704984146636,0.00011672025175357703,0.014535649494064273,0.0052354717527123285,0.0034130747508243076,0.0029242902501209755,0.017238371498024208,0.017641185494539968,0.01807682275011757,0.018200793248070113,7.950000508571975e-06,0.0099099357448722,0.011952176248996693,0.014239309749427775
46,13,81,2,4,13,4,parallel,0.022169527749611007,True,0.0,0.0008000000000000001,0.0012000000000000003,0.0014000000000000004,0.0,0.0038499999999999975,0.0063000000000000035,0.006875000000000005,0.0020854635013165534,0.0008131259983201744,0.0009335980057585402,0.0010662194963515503,0.0010260947501592455,0.0018092967575285002,0.002283606994751608,0.00013779549499304267,0.016848258248501224,0.006279716746576014,0.004446045499207685,0.002995462252329162,0.02003371500359208,0.0206859957497727,0.02110985925355635,0.0212726792506146,1.5099998563528061e-05,0.011722707753506256,0.013392284748078964,0.017050977753569896
47,15,81,2,4,15,4,parallel,0.026373605250228138,True,0.0,0.0008000000000000001,0.0012250000000000004,0.0014000000000000004,0.0,0.004975,0.0078000000000000074,0.008525000000000005,0.0026090740011568414,0.0009333205025541247,0.001071143503395433,0.0012129150018154178,0.001185090496619523,0.0020911640031044954,0.002511101753952971,0.00016209650129894726,0.020416303747879283,0.006943973748093413,0.004085005741217174,0.0043986452465105685,0.024295215501297207,0.02471705400330393,0.025301636246695125,0.02540925824723672,1.082425569620682e-05,0.014679846747640113,0.017573437249666313,0.019610727247709292
48,17,81,2,4,17,4,parallel,0.03126301249994867,True,0.0,0.0007750000000000001,0.0011750000000000005,0.0014000000000000004,0.0,0.0049250000000000006,0.007675000000000005,0.008425000000000002,0.00394981024783192,0.00128111325102509,0.0012223147505210363,0.0015317812494686223,0.0013682610069736256,0.002529927003706689,0.0035199467492930125,0.00019364524632692337,0.02322064774489263,0.008666620246003731,0.006669379251434293,0.004547316247226263,0.02863191399774223,0.02924427099605964,0.02967375875232392,0.03020289375217544,1.347450142930029e-05,0.016679812497386592,0.018188369751442224,0.023899401253402175
49,19,81,2,4,19,4,parallel,0.032885439999517985,True,0.0,0.0007750000000000001,0.0012000000000000003,0.0014000000000000004,0.0,0.006150000000000003,0.009799999999999996,0.010299999999999993,0.003367726498254342,0.0011834669994641445,0.0013401107489698916,0.0015024792537587928,0.001517931504167791,0.002650347998496727,0.0031864065003901487,0.00019034449633181794,0.02567557449947344,0.008745369252210367,0.004968080750586523,0.006788602247979725,0.03066722950188705,0.031101942248824344,0.031621751247257635,0.03186969499620318,1.4799501514062285e-05,0.018435811249219114,0.022049955247894104,0.023357744499662658
50,21,81,2,4,21,4,parallel,0.03466276325070794,True,0.0,0.0007500000000000002,0.0011500000000000004,0.0013250000000000002,0.0,0.0059000000000000025,0.009399999999999999,0.01077499999999999,0.003605219494602352,0.0012940372516823118,0.0015340294967245427,0.0016389537495342665,0.0014353337473949068,0.0029691637491850997,0.0036385687490110286,0.0002094195024255896,0.02744499975688086,0.010189302752223739,0.007011621001765889,0.0046742390004510526,0.03259992374751164,0.033063709997804835,0.03348167250169354,0.03363211849864456,1.82979993041954e-05,0.01851400874875253,0.021209355252722162,0.027075582498582662
51,23,81,2,4,23,4,parallel,0.037526154500483244,True,0.0,0.0007000000000000001,0.0010750000000000002,0.0012500000000000005,0.0,0.0071250000000000055,0.01089999999999999,0.012099999999999982,0.003928036249817524,0.0013998837521285168,0.0016408272540502367,0.0018357712515353342,0.0018010715039054048,0.0027039962478738744,0.0033733015006873757,0.00027999225221719826,0.029700458244406036,0.010595615997772256,0.0067155537490179995,0.007023018748441245,0.03555331225015834,0.035985049743430864,0.03631674074676994,0.036309089749011036,1.859900112322066e-05,0.02118235699708748,0.02448053574335063,0.027132408000397845
52,25,81,2,4,25,4,parallel,0.04176090600049065,True,0.0,0.0007250000000000002,0.0011000000000000003,0.0013000000000000004,0.0,0.007950000000000007,0.011849999999999984,0.013649999999999973,0.0043153234973942745,0.0014994090070103994,0.0017842229972302448,0.001977343248654506,0.0019159942494297866,0.003311951745672559,0.00403468275180785,0.00029776474912068807,0.033340928749566956,0.011546936998456658,0.006734303001394437,0.007513606748034363,0.039717841253150254,0.04015817724666704,0.040595890750410035,0.040708711501793005,2.1499005015357397e-05,0.023687406248427578,0.027938634749261837,0.03087784825129347
